sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0184,sample,L_Malic_Acid,ref,137.028,732,1312221,708.01,730.47
Blank-r002,blank,L_Malic_Acid,ref,137.028,732,27546,708.1,730.56
MLMET0166,sample,L_Malic_Acid,ref,137.028,732,823586,708.5,730.96
MLMET0075,sample,L_Malic_Acid,ref,137.028,732,6554353,708.49,730.96
MLMET0179,filter,L_Malic_Acid,ref,137.028,732,958788,707.65,730.12
MLMET0097,sample,L_Malic_Acid,ref,137.028,732,4953698,707.81,730.28
MLMET0138,sample,L_Malic_Acid,ref,137.028,732,1095132,709.85,732.32
MLMET0095,sample,L_Malic_Acid,ref,137.028,732,5281000,710.2,732.66
MLMET0186,sample,L_Malic_Acid,ref,137.028,732,1417441,707.48,729.94
MLMET0117,filter,L_Malic_Acid,ref,137.028,732,3550929,707.74,730.2
MLMET0187,sample,L_Malic_Acid,ref,137.028,732,1523235,709.73,732.19
MLMET0140,sample,L_Malic_Acid,ref,137.028,732,1037428,709.85,732.31
RCY308_control-r002,control,L_Malic_Acid,ref,137.028,732,24848,709.19,731.65
MLMET0165,sample,L_Malic_Acid,ref,137.028,732,1457077,709,731.47
MLMET0178,filter,L_Malic_Acid,ref,137.028,732,769351,710.16,732.62
MLMET0141,sample,L_Malic_Acid,ref,137.028,732,948787,710.17,732.64
MLMET0072,sample,L_Malic_Acid,ref,137.028,732,5986493,708.82,731.28
MLMET0168,sample,L_Malic_Acid,ref,137.028,732,1386895,708.51,730.98
MLMET0069,sample,L_Malic_Acid,ref,137.028,732,5276620,710.27,732.73
MLMET0071,sample,L_Malic_Acid,ref,137.028,732,8246435,710,732.47
MLMET0167,sample,L_Malic_Acid,ref,137.028,732,1377599,708.06,730.53
MLMET0074,sample,L_Malic_Acid,ref,137.028,732,6492544,707.94,730.41
MLMET0073,sample,L_Malic_Acid,ref,137.028,732,5433000,709.63,732.09
MLMET0098,sample,L_Malic_Acid,ref,137.028,732,5423913,709.52,731.98
MLMET0070,sample,L_Malic_Acid,ref,137.028,732,5558312,706.13,728.59
MLMET0116,filter,L_Malic_Acid,ref,137.028,732,2358232,706.28,728.75
MLMET0185,sample,Anthranalate,met,136.04,749,10205,729.75,735.24
